Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,21/04/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6741
Multiple carriers,9/4/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,6481
Multiple carriers,6/6/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,7354
Air India,21/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12h 20m,1 stop,In-flight meal not included,10844
IndiGo,18/05/2019,Delhi,Cochin,DEL → HYD → COK,6:50,12:10,5h 20m,1 stop,No info,6347
Air India,15/03/2019,Banglore,New Delhi,BLR → HYD → DEL,8:15,12:15,4h,1 stop,No info,5013
Jet Airways,9/6/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,6/10/2022 4:40,9h 45m,1 stop,In-flight meal not included,9663
IndiGo,6/4/2019,Banglore,Delhi,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,4823
Air India,24/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,6/25/2022 19:15,26h 20m,2 stops,No info,13381
SpiceJet,1/6/2019,Chennai,Kolkata,MAA → CCU,9:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,5/16/2022 4:40,9h 45m,1 stop,In-flight meal not included,9663
Jet Airways,1/4/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,4/2/2022 19:50,24h 55m,1 stop,In-flight meal not included,7064
Jet Airways,9/6/2019,Delhi,Cochin,DEL → BOM → COK,7:05,19:00,11h 55m,1 stop,In-flight meal not included,10262
Air India,1/6/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2 stops,No info,13013
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,6/28/2022 12:35,17h 25m,2 stops,No info,15339
GoAir,18/04/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,4937
IndiGo,6/6/2019,Delhi,Cochin,DEL → HYD → COK,5:05,12:10,7h 5m,1 stop,No info,6818
Air India,18/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,5/19/2022 19:15,21h 15m,2 stops,No info,10441
Jet Airways,3/4/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,5177
IndiGo,27/06/2019,Chennai,Kolkata,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,3858
IndiGo,18/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,5/19/2022 2:15,5h 15m,1 stop,No info,6534
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,6/16/2022 1:30,15h 10m,1 stop,No info,6795
Multiple carriers,3/6/2019,Delhi,Cochin,DEL → BOM → COK,7:30,19:15,11h 45m,1 stop,No info,9736
Jet Airways,1/5/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229
SpiceJet,24/04/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957
IndiGo,9/3/2019,Banglore,New Delhi,BLR → DEL,6:00,8:45,2h 45m,non-stop,No info,7648
SpiceJet,15/06/2019,Kolkata,Banglore,CCU → BLR,14:55,17:25,2h 30m,non-stop,No info,3873
Jet Airways,12/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,5/13/2022 4:40,9h 45m,1 stop,No info,14388
IndiGo,6/3/2019,Kolkata,Banglore,CCU → BLR,17:15,19:55,2h 40m,non-stop,No info,5618
Multiple carriers,9/6/2019,Delhi,Cochin,DEL → BOM → COK,19:00,6/10/2022 1:30,6h 30m,1 stop,No info,7408
Air Asia,3/3/2019,Delhi,Cochin,DEL → BLR → COK,16:45,22:15,5h 30m,1 stop,No info,13774
Vistara,3/5/2019,Banglore,Delhi,BLR → DEL,7:00,9:40,2h 40m,non-stop,No info,4668
Jet Airways,21/03/2019,Delhi,Cochin,DEL → UDR → BOM → COK,18:20,3/23/2022 4:25,34h 5m,2 stops,No info,13082
Air India,3/6/2019,Delhi,Cochin,DEL → BOM → COK,3:50,19:15,15h 25m,1 stop,No info,8669
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,6/25/2022 1:30,9h 30m,1 stop,No info,6316
Jet Airways,6/3/2019,Delhi,Cochin,DEL → BOM → COK,22:20,3/7/2022 4:25,6h 5m,1 stop,In-flight meal not included,12583
Vistara,9/3/2019,Banglore,New Delhi,BLR → DEL,16:10,18:50,2h 40m,non-stop,No info,7923
GoAir,3/3/2019,Delhi,Cochin,DEL → BOM → COK,7:00,12:50,5h 50m,1 stop,No info,7378
Vistara,3/6/2019,Banglore,Delhi,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,4878
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,5/19/2022 19:50,27h 20m,1 stop,In-flight meal not included,10844
Jet Airways,3/4/2019,Banglore,Delhi,BLR → DEL,8:20,11:20,3h,non-stop,No info,7229
SpiceJet,21/05/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5h 15m,1 stop,No info,6297
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,6/13/2022 12:00,16h,1 stop,In-flight meal not included,8529
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13727
SpiceJet,24/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,8:35,17:15,8h 40m,1 stop,No info,6643
Multiple carriers,9/5/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,10197
SpiceJet,21/04/2019,Kolkata,Banglore,CCU → BLR,22:20,4/22/2022 0:40,2h 20m,non-stop,No info,4911
IndiGo,6/3/2019,Chennai,Kolkata,MAA → CCU,5:15,7:35,2h 20m,non-stop,No info,6482
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,15:15,6h 20m,1 stop,No info,26890
IndiGo,18/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,4h 25m,1 stop,No info,3717
IndiGo,1/6/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
Air India,18/03/2019,Banglore,New Delhi,BLR → CCU → GAU → DEL,11:05,22:10,11h 5m,2 stops,No info,10846
Air India,1/3/2019,Banglore,New Delhi,BLR → CCU → DEL,5:50,22:45,16h 55m,1 stop,No info,14069
Jet Airways,1/4/2019,Delhi,Cochin,DEL → BOM → COK,22:50,4/2/2022 12:35,13h 45m,1 stop,In-flight meal not included,5177
Air India,6/3/2019,Delhi,Cochin,DEL → NAG → BOM → COK,5:55,3/7/2022 7:40,25h 45m,2 stops,No info,14641
IndiGo,6/6/2019,Delhi,Cochin,DEL → HYD → COK,8:35,22:30,13h 55m,1 stop,No info,6442
Air India,21/03/2019,Delhi,Cochin,DEL → BLR → COK,17:45,23:00,5h 15m,1 stop,No info,5704
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,5/7/2022 9:20,19h 15m,1 stop,In-flight meal not included,9663
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/7/2022 4:25,7h 30m,1 stop,No info,14714
Jet Airways,1/4/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,In-flight meal not included,5406
Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,5/16/2022 20:20,24h,1 stop,No info,8610
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,6/13/2022 12:35,18h 10m,2 stops,No info,14237
IndiGo,9/6/2019,Banglore,Delhi,BLR → DEL,7:10,10:05,2h 55m,non-stop,No info,4823
IndiGo,27/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,2227
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,7:05,5/19/2022 4:25,21h 20m,1 stop,In-flight meal not included,12373
Air India,6/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372
Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,13:55,3/4/2022 4:25,14h 30m,1 stop,No info,17024
Air India,27/05/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3100
Jet Airways,9/3/2019,Delhi,Cochin,DEL → BOM → COK,6:50,19:45,12h 55m,1 stop,In-flight meal not included,14053
IndiGo,9/5/2019,Chennai,Kolkata,MAA → CCU,5:15,7:40,2h 25m,non-stop,No info,3540
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,5/22/2022 18:50,22h 30m,1 stop,No info,9345
Jet Airways,1/6/2019,Delhi,Cochin,DEL → JAI → BOM → COK,5:30,6/2/2022 4:25,22h 55m,2 stops,In-flight meal not included,10368
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,7:00,12:25,5h 25m,1 stop,No info,26890
SpiceJet,9/3/2019,Mumbai,Hyderabad,BOM → HYD,8:50,10:15,1h 25m,non-stop,No info,5755
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,16:10,7h 15m,1 stop,In-flight meal not included,7832
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,20:45,12h 20m,1 stop,No info,14388
Air India,27/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,6/28/2022 9:25,20h 10m,2 stops,No info,8839
Air India,3/3/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,3/4/2022 19:15,21h 15m,2 stops,No info,22096
Vistara,27/05/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3687
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,8:30,19:00,10h 30m,1 stop,No info,9627
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,3/22/2022 1:35,14h 5m,1 stop,No info,13542
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2h 50m,non-stop,No info,4423
IndiGo,3/3/2019,Delhi,Cochin,DEL → HYD → MAA → COK,4:55,21:20,16h 25m,2 stops,No info,8899
SpiceJet,21/04/2019,Delhi,Cochin,DEL → MAA → COK,6:05,11:20,5h 15m,1 stop,No info,5583
Air Asia,27/05/2019,Delhi,Cochin,DEL → BLR → COK,16:45,5/28/2022 6:35,13h 50m,1 stop,No info,6752
SpiceJet,21/05/2019,Chennai,Kolkata,MAA → CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,15:15,7h 15m,1 stop,In-flight meal not included,7832
Air India,1/5/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,5:50,5/2/2022 8:55,27h 5m,2 stops,No info,10991
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,9:00,5/28/2022 12:35,27h 35m,1 stop,In-flight meal not included,12898
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,In-flight meal not included,12898
GoAir,24/05/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3398
Air India,24/04/2019,Delhi,Cochin,DEL → COK,5:10,8:00,2h 50m,non-stop,No info,5201
Air India,6/5/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,5/7/2022 1:20,15h 20m,2 stops,No info,13873
Air India,15/06/2019,Delhi,Cochin,DEL → BLR → COK,17:40,23:00,5h 20m,1 stop,No info,7384
Jet Airways,6/6/2019,Delhi,Cochin,DEL → BOM → COK,18:15,6/7/2022 4:25,10h 10m,1 stop,In-flight meal not included,10262
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,3/25/2022 12:00,27h 35m,1 stop,In-flight meal not included,10031
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,9h 35m,1 stop,In-flight meal not included,12384
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,5/10/2022 18:15,28h 10m,1 stop,In-flight meal not included,7757
Jet Airways,6/3/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,3/7/2022 11:25,14h,1 stop,No info,17261
SpiceJet,1/3/2019,Chennai,Kolkata,MAA → CCU,9:30,12:05,2h 35m,non-stop,No info,7298
Jet Airways,6/4/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,1/4/2019,Kolkata,Banglore,CCU → BLR,4:40,7:15,2h 35m,non-stop,No info,4174
IndiGo,18/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5699
Air India,24/04/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,4880
Air India,6/3/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:15,11h 15m,1 stop,No info,15284
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,8:25,16:20,7h 55m,1 stop,No info,13759
Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,9:55,18:45,8h 50m,1 stop,No info,16092
IndiGo,9/3/2019,Mumbai,Hyderabad,BOM → HYD,6:20,7:45,1h 25m,non-stop,No info,4392
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,6/25/2022 12:35,15h 40m,1 stop,In-flight meal not included,10262
SpiceJet,12/6/2019,Kolkata,Banglore,CCU → BLR,6:55,9:30,2h 35m,non-stop,No check-in baggage included,3841
GoAir,1/6/2019,Banglore,Delhi,BLR → DEL,7:45,10:40,2h 55m,non-stop,No info,5048
Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,7:00,20:25,13h 25m,1 stop,No info,11096
IndiGo,24/04/2019,Delhi,Cochin,DEL → HYD → COK,7:35,12:10,4h 35m,1 stop,No info,5073
Jet Airways,3/3/2019,Delhi,Cochin,DEL → BOM → COK,9:55,3/4/2022 4:25,18h 30m,1 stop,No info,19828
Vistara,21/03/2019,Chennai,Kolkata,MAA → CCU,7:05,9:20,2h 15m,non-stop,No info,3739
Air India,9/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,5:00,3/10/2022 19:15,38h 15m,2 stops,No info,10598
Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,In-flight meal not included,7229
Vistara,1/4/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,4/2/2022 18:50,25h 50m,1 stop,No info,8610
Vistara,9/5/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
Air India,9/6/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6961
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,21:05,11h 30m,1 stop,In-flight meal not included,10703
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,6:30,5/10/2022 10:05,27h 35m,1 stop,In-flight meal not included,8586
IndiGo,12/4/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4488
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,18:00,6/16/2022 1:30,7h 30m,1 stop,No info,7408
Jet Airways,18/04/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,5443
Jet Airways,12/6/2019,Kolkata,Banglore,CCU → DEL → BLR,9:35,19:10,9h 35m,1 stop,In-flight meal not included,10539
Multiple carriers,1/6/2019,Delhi,Cochin,DEL → BOM → COK,13:00,6/2/2022 1:30,12h 30m,1 stop,No info,7723
Multiple carriers,6/3/2019,Delhi,Cochin,DEL → BOM → COK,7:30,18:50,11h 20m,1 stop,No info,15411
Jet Airways,21/05/2019,Banglore,Delhi,BLR → DEL,7:10,10:10,3h,non-stop,No info,7229
IndiGo,21/06/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
Jet Airways,3/3/2019,Mumbai,Hyderabad,BOM → HYD,2:55,4:25,1h 30m,non-stop,In-flight meal not included,4050
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,5/19/2022 19:10,26h 10m,1 stop,No info,14151
SpiceJet,6/4/2019,Delhi,Cochin,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,4957
Air India,3/3/2019,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,non-stop,No info,7591
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,22:35,8h 40m,1 stop,In-flight meal not included,11134
IndiGo,27/05/2019,Delhi,Cochin,DEL → HYD → COK,5:05,12:10,7h 5m,1 stop,No info,6600
Air India,9/3/2019,Banglore,New Delhi,BLR → DEL,21:10,23:55,2h 45m,non-stop,No info,4966
Air India,1/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,6:50,6/2/2022 7:40,24h 50m,2 stops,No info,15481
SpiceJet,1/3/2019,Kolkata,Banglore,CCU → BLR,22:20,3/2/2022 0:40,2h 20m,non-stop,No info,5515
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,8:00,19:00,11h,1 stop,No info,14714
GoAir,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,9h,1 stop,No info,4959
Jet Airways,21/04/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,7229
